basin,local_nse,local_kge,global_nse,global_kge,ft_nse,ft_kge,group,seed,delta_ft_minus_local_nse,delta_ft_minus_global_nse
01013500,0.6928386688232422,0.5786694932152949,0.131285011768341,0.508257567591442,0.8074399828910828,0.766000969761429,01,1001,0.11460131406784058,0.6761549711227417
01022500,0.4292625784873962,0.5621040637213347,0.6588060855865479,0.6441343657691274,0.8117673397064209,0.8700365732590187,01,1001,0.3825047612190247,0.15296125411987305
01030500,0.5796703100204468,0.6160071140118782,0.623868465423584,0.7426828461373658,0.7947849631309509,0.7195199139901545,01,1001,0.21511465311050415,0.17091649770736694
01031500,0.3544133305549621,0.3457567379270422,0.6668630242347717,0.6799443274363763,0.8048533201217651,0.7957029411944019,01,1001,0.45043998956680303,0.1379902958869934
01047000,0.348922848701477,0.3647676745715099,0.6151868104934692,0.521941344806394,0.7634714841842651,0.6951042300234036,01,1001,0.41454863548278814,0.1482846736907959
01052500,0.2225273847579956,0.1508439144173567,0.610205888748169,0.6059278572227724,0.7369234561920166,0.7394823762765235,01,1001,0.514396071434021,0.12671756744384766
01054200,0.143095314502716,0.058259888646473,0.3997033834457397,0.3831500723077656,0.544731616973877,0.5011417042559343,01,1001,0.40163630247116094,0.14502823352813726
01055000,0.2168943285942077,0.1699128633876114,0.4558645486831665,0.427126663574996,0.5942850112915039,0.567079396441691,01,1001,0.3773906826972962,0.1384204626083374
01057000,0.3817164301872253,0.3835283398733906,0.4951235651969909,0.359414660123002,0.7694264650344849,0.6845611479115312,01,1001,0.3877100348472596,0.27430289983749395
01073000,0.3143988251686096,0.3278695525577596,0.5738965272903442,0.3988367389901979,0.7896860241889954,0.714293696896061,01,1001,0.47528719902038574,0.21578949689865112
01078000,0.4496455192565918,0.4421535502274671,0.5192917585372925,0.3900719486909407,0.7791242599487305,0.7020207288026099,01,1001,0.32947874069213867,0.259832501411438
01123000,0.4565082788467407,0.4324553781146691,0.639807939529419,0.5769363653204117,0.7061379551887512,0.8423961522146973,01,1001,0.2496296763420105,0.06633001565933228
01134500,0.3404456377029419,0.3434213144444518,0.5683508515357971,0.5786386013455171,0.7066546678543091,0.6966994872356314,01,1001,0.3662090301513672,0.13830381631851196
01137500,0.2032976150512695,0.1375457098537307,0.4406268000602722,0.5563402899065386,0.6792726516723633,0.7288447804291966,01,1001,0.47597503662109375,0.23864585161209106
01139000,0.4254164695739746,0.4010076560126018,0.6277831792831421,0.5977593711488915,0.7732608914375305,0.7991042504443141,01,1001,0.3478444218635559,0.14547771215438843
01139800,0.444270372390747,0.4556567348265796,0.5873517990112305,0.6178831075543243,0.6649252772331238,0.7243002739172959,01,1001,0.22065490484237676,0.07757347822189331
01142500,0.4002017378807068,0.3914144200688549,0.5718830823898315,0.4866650311900674,0.7471020221710205,0.7135133945082752,01,1001,0.3469002842903137,0.17521893978118896
01144000,0.4311704039573669,0.4621813653988803,0.6497054696083069,0.6440553601908202,0.7642873525619507,0.7416393731548137,01,1001,0.3331169486045838,0.1145818829536438
01162500,0.5182832479476929,0.5082429012661629,0.4980004429817199,0.3607520505440502,0.736798882484436,0.751079356148158,01,1001,0.21851563453674316,0.23879843950271612
01169000,0.3672948479652405,0.4205871183728503,0.6204535365104675,0.7036716575231126,0.7062857151031494,0.7921613566272168,01,1001,0.33899086713790894,0.08583217859268188
01170100,0.3831151127815246,0.388877878986663,0.6109198331832886,0.6723078335467297,0.699776291847229,0.7925309725115564,01,1001,0.3166611790657044,0.08885645866394043
01181000,0.3523860573768616,0.3393989571663024,0.6443166732788086,0.6683790835068679,0.7117534875869751,0.7930791717477422,01,1001,0.3593674302101135,0.0674368143081665
01187300,0.2620080113410949,0.1996286464347061,0.5791774988174438,0.5658538831337728,0.6888225078582764,0.7076272541930555,01,1001,0.42681449651718145,0.10964500904083252
01195100,0.391340970993042,0.3829842818575981,0.5244837999343872,0.4116942645098823,0.6901141405105591,0.7225353611888607,01,1001,0.2987731695175171,0.16563034057617188
04296000,0.3378236889839172,0.4066897816329684,0.5869516730308533,0.5429119243247706,0.7015228271484375,0.6861700938253734,01,1001,0.3636991381645203,0.11457115411758423
