basin,local_nse,local_kge,ft_nse,ft_kge,delta_nse_ft_minus_local,delta_kge_ft_minus_local,seed
01022500,0.7345911264419556,0.8438669761790851,0.8432803153991699,0.9041528374648544,0.10868918895721436,0.06028586128576929,1001
01031500,0.7313251495361328,0.7222305663355406,0.7818400859832764,0.825816785048627,0.050514936447143555,0.10358621871308638,1001
01047000,0.684516191482544,0.6570867622480485,0.7634527683258057,0.7438427860491755,0.07893657684326172,0.08675602380112701,1001
01052500,0.5949229001998901,0.6022149360210842,0.7617136240005493,0.8537680129910468,0.16679072380065918,0.25155307696996254,1001
01054200,0.3955579996109009,0.3736597602819653,0.5537194013595581,0.5602608996631191,0.15816140174865723,0.1866011393811538,1001
01055000,0.4685202240943908,0.459519523577982,0.5906786918640137,0.6249680930042387,0.12215846776962286,0.16544856942625674,1001
01057000,0.7274874448776245,0.6811143742921952,0.7907305359840393,0.8542047561705685,0.0632430911064148,0.17309038187837322,1001
01073000,0.679349958896637,0.6316485894296604,0.8748505115509033,0.8295197890469169,0.19550055265426636,0.19787119961725652,1001
01078000,0.7456305027008057,0.6681122585091623,0.8504536151885986,0.7908561993776978,0.10482311248779297,0.12274394086853546,1001
01123000,0.7352564930915833,0.7929081915409213,0.783909022808075,0.889050080430424,0.0486525297164917,0.0961418888895027,1001
01134500,0.6253480911254883,0.6033260066010502,0.7554649710655212,0.8145557587032559,0.13011687994003296,0.21122975210220574,1001
01137500,0.5410266518592834,0.641094701300733,0.7175595760345459,0.8118578364037017,0.17653292417526245,0.1707631351029687,1001
01139000,0.712928295135498,0.6635622599696676,0.7549737691879272,0.8734672095589678,0.0420454740524292,0.20990494958930028,1001
01139800,0.6549566984176636,0.7184298668349652,0.7031594514846802,0.7416542972044633,0.0482027530670166,0.02322443036949806,1001
01142500,0.6708484888076782,0.6895653789600766,0.7946200370788574,0.7952140982754677,0.1237715482711792,0.1056487193153911,1001
01144000,0.7042633295059204,0.7484569485997205,0.8278590440750122,0.909672603210563,0.1235957145690918,0.16121565461084253,1001
01162500,0.7245597839355469,0.7498086678004862,0.7939099073410034,0.8245146699112301,0.06935012340545654,0.07470600211074396,1001
01169000,0.6661924719810486,0.6987749253094145,0.7414461374282837,0.8412991335827587,0.07525366544723511,0.1425242082733441,1001
01170100,0.6499534845352173,0.6869701585674721,0.7060791254043579,0.8102207630967129,0.056125640869140625,0.12325060452924075,1001
01181000,0.6543861627578735,0.6644279671486792,0.7455853223800659,0.7881443701936622,0.09119915962219238,0.12371640304498299,1001
01187300,0.5670649409294128,0.5542429248720908,0.6803225874900818,0.6736715429927368,0.11325764656066895,0.11942861812064598,1001
01195100,0.6399950981140137,0.6055441446865357,0.7155970335006714,0.7594200851517912,0.07560193538665771,0.15387594046525543,1001
01333000,0.7447667121887207,0.774127572396217,0.7726501226425171,0.8732999463003757,0.027883410453796387,0.09917237390415867,1001
01350000,0.5351938009262085,0.5074740468487863,0.6407393217086792,0.6378572111104297,0.1055455207824707,0.13038316426164342,1001
01350080,0.5689988136291504,0.5563170651623557,0.6627894639968872,0.737862324430377,0.09379065036773682,0.18154525926802134,1001
01350140,0.5408719778060913,0.6029855672711656,0.5743736028671265,0.637962995434143,0.033501625061035156,0.03497742816297744,1001
01365000,0.627442479133606,0.6639652282131702,0.6823818683624268,0.7556997287109202,0.0549393892288208,0.09173450049775,1001
01411300,0.6495717763900757,0.5694382285153199,0.6963909864425659,0.5789448262122003,0.046819210052490234,0.009506597696880448,1001
01413500,0.6193660497665405,0.6211918436767397,0.6985055208206177,0.7438093393692475,0.07913947105407715,0.1226174956925078,1001
01414500,0.554777979850769,0.5838537466045745,0.6351727843284607,0.7094876461530201,0.08039480447769165,0.12563389954844562,1001
01415000,0.6300125122070312,0.668798698550169,0.7086167335510254,0.8086886738635899,0.07860422134399414,0.13988997531342084,1001
01423000,0.6640361547470093,0.6914841955576201,0.7763519883155823,0.8259359096825755,0.112315833568573,0.13445171412495538,1001
01434025,0.5054187774658203,0.5164139312220236,0.5952744483947754,0.6385852814383042,0.08985567092895508,0.12217135021628056,1001
01435000,0.5231427550315857,0.5059409076873339,0.6438747048377991,0.6089965364897387,0.12073194980621338,0.10305562880240482,1001
01439500,0.7222915887832642,0.7347999353366819,0.7375788688659668,0.7491150366362436,0.015287280082702637,0.014315101299561706,1001
01440000,0.736784815788269,0.6956398839888591,0.8170132637023926,0.7731496813960901,0.08022844791412354,0.07750979740723096,1001
01440400,0.6854034662246704,0.658350818391382,0.7391504645347595,0.7261647120608603,0.05374699831008911,0.06781389366947832,1001
01451800,0.6628803610801697,0.646688309369288,0.7278262376785278,0.7590511603123307,0.06494587659835815,0.11236285094304266,1001
01466500,0.5459010601043701,0.6673146351895867,0.6636049747467041,0.7466598512626227,0.11770391464233398,0.07934521607303602,1001
01484100,0.6240476965904236,0.6429941065337079,0.6032966375350952,0.6271608941234174,-0.02075105905532837,-0.015833212410290565,1001
01487000,0.7999788522720337,0.8728937705463772,0.745772123336792,0.8248315047053453,-0.0542067289352417,-0.048062265841031904,1001
01491000,0.5720604658126831,0.5406217276761096,0.7308303117752075,0.7635956563982329,0.15876984596252441,0.2229739287221233,1001
01510000,0.6436083912849426,0.7223086185172809,0.7354065179824829,0.8118294150746638,0.09179812669754028,0.08952079655738288,1001
01516500,0.3305478692054748,0.3321282083487389,0.4900123476982116,0.505169110430641,0.15946447849273682,0.17304090208190215,1001
01518862,0.5093148946762085,0.4915162927748993,0.6013089418411255,0.5591081392534203,0.09199404716491699,0.06759184647852101,1001
01532000,0.3705968260765075,0.3524347909969857,0.4946291446685791,0.4855994979208998,0.12403231859207159,0.13316470692391408,1001
01539000,0.6971037983894348,0.6881821567605548,0.8431064486503601,0.8463646183767033,0.1460026502609253,0.15818246161614846,1001
01542810,0.533785343170166,0.5477198386868641,0.7164506912231445,0.7265144526597149,0.18266534805297852,0.1787946139728508,1001
01543000,0.6231787204742432,0.6475459383570139,0.7773033976554871,0.7945306875867527,0.1541246771812439,0.1469847492297388,1001
01543500,0.6775892972946167,0.7098348487037768,0.8184204697608948,0.8091809951217928,0.14083117246627808,0.09934614641801598,1001
01544500,0.5795469284057617,0.5697321043228557,0.7449837923049927,0.71063857456433,0.16543686389923096,0.1409064702414743,1001
01545600,0.6238328218460083,0.6235224111218296,0.7481911182403564,0.7578212601184818,0.12435829639434814,0.13429884899665223,1001
01547700,0.6089939475059509,0.6278729019044791,0.6824738383293152,0.688781205615604,0.07347989082336426,0.06090830371112488,1001
01548500,0.6542832255363464,0.6441455879096885,0.790510892868042,0.7574727994895376,0.13622766733169556,0.11332721157984915,1001
01549500,0.5030927062034607,0.4416950679050577,0.6380767822265625,0.5364134824498615,0.1349840760231018,0.09471841454480384,1001
01550000,0.5415127873420715,0.4913386177462053,0.6473820209503174,0.5719709845054874,0.10586923360824585,0.08063236675928215,1001
01552000,0.6231123208999634,0.5878793799320966,0.7777153849601746,0.7316082842017813,0.15460306406021118,0.14372890426968465,1001
01552500,0.4778902530670166,0.4668010949382162,0.6369079351425171,0.6311443561007902,0.1590176820755005,0.16434326116257403,1001
01557500,0.6186307072639465,0.7005619215472225,0.6525378227233887,0.7403329591742572,0.03390711545944214,0.03977103762703471,1001
01567500,0.5099202394485474,0.4742299142013426,0.5869810581207275,0.5812879202347869,0.07706081867218018,0.10705800603344434,1001
01568000,0.6670706272125244,0.6207714861353424,0.7195942401885986,0.7426634181638225,0.05252361297607422,0.12189193202848014,1001
01580000,0.5922796726226807,0.5738573820399708,0.6829889416694641,0.7379522541031727,0.09070926904678345,0.16409487206320184,1001
01583500,0.5798825025558472,0.5828217289548849,0.6756352782249451,0.76165881676141,0.0957527756690979,0.17883708780652507,1001
01586610,0.5775468349456787,0.5188026679979436,0.7262280583381653,0.7538492329360498,0.14868122339248657,0.23504656493810616,1001
01591400,0.5159993171691895,0.4474660205501789,0.6710785627365112,0.6392402996024485,0.15507924556732178,0.19177427905226963,1001
01594950,0.6067838668823242,0.6308725752995724,0.6916736364364624,0.7445860656144923,0.08488976955413818,0.11371349031491984,1001
01596500,0.6049432754516602,0.5994045688335004,0.6719372272491455,0.7134858156955974,0.06699395179748535,0.11408124686209709,1001
01605500,0.5912153720855713,0.6385533707577868,0.7446963787078857,0.829726670333711,0.15348100662231445,0.1911732995759241,1001
01606500,0.6337628364562988,0.6297411623534255,0.7372928857803345,0.7737932367171447,0.10353004932403564,0.14405207436371925,1001
01632000,0.3753265142440796,0.3503730835934621,0.5157410502433777,0.5113178983031013,0.1404145359992981,0.16094481470963917,1001
01632900,0.4948883652687073,0.5506271129175022,0.5772011876106262,0.7679129937241136,0.08231282234191895,0.21728588080661138,1001
01634500,0.4430035352706909,0.4885163592496344,0.5138682723045349,0.5982934942816932,0.070864737033844,0.10977713503205883,1001
01638480,0.5250656604766846,0.4696106589514495,0.6271415948867798,0.531084360142335,0.10207593441009521,0.061473701190885466,1001
01639500,0.625388503074646,0.5598402829589457,0.7640695571899414,0.8208016127935676,0.1386810541152954,0.26096132983462184,1001
01644000,0.6805903911590576,0.6539083282843101,0.8288085460662842,0.7989792789819044,0.14821815490722656,0.14507095069759424,1001
01664000,0.6748189330101013,0.6553699639355919,0.7841213345527649,0.8107555791752543,0.10930240154266357,0.15538561523966243,1001
01666500,0.4578994512557983,0.4115616317974221,0.5814152956008911,0.5532309110809985,0.12351584434509283,0.14166927928357642,1001
01667500,0.5250880718231201,0.4837109477979798,0.7050477862358093,0.6848890657337244,0.1799597144126892,0.20117811793574464,1001
01669000,0.7762117385864258,0.7811573514272911,0.7865660786628723,0.7502478546687213,0.010354340076446533,-0.0309094967585698,1001
01669520,0.5365872383117676,0.5406178676094959,0.7842862606048584,0.7444555021587251,0.24769902229309082,0.2038376345492292,1001
