basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
01013500,0.5792697668075562,0.6104068651939323,0.3672225475311279,0.5834132251243207,1,1001,-0.2120472192764282,-0.0269936400696115
01022500,0.4665408134460449,0.5312571844015737,0.7386216521263123,0.8069762146237618,1,1001,0.2720808386802673,0.2757190302221881
01030500,0.4422682523727417,0.4675680854159825,0.4867866635322571,0.7303887223449299,1,1001,0.0445184111595153,0.2628206369289474
01031500,0.3782527446746826,0.3614504636758892,0.7261061668395996,0.664156960305404,1,1001,0.347853422164917,0.3027064966295149
01047000,0.3430995941162109,0.3144704489437945,0.645698070526123,0.5292616259845132,1,1001,0.3025984764099121,0.2147911770407187
01052500,0.2951595187187195,0.2622656451015925,0.699105978012085,0.6669036334142611,1,1001,0.4039464592933655,0.4046379883126685
01054200,0.2007290124893188,0.1188565731235523,0.4872585535049438,0.4579437568644758,1,1001,0.286529541015625,0.3390871837409235
01055000,0.2458646893501281,0.196945885250106,0.4889128804206848,0.4438487279833636,1,1001,0.2430481910705567,0.2469028427332576
01057000,0.4109672307968139,0.4046166699912329,0.699496865272522,0.5774390886977301,1,1001,0.288529634475708,0.1728224187064971
01073000,0.3848350048065185,0.3682762847046319,0.7374783754348755,0.6239346101341571,1,1001,0.352643370628357,0.2556583254295251
01078000,0.4089198708534241,0.430616927094224,0.6351855993270874,0.4873539248903314,1,1001,0.2262657284736633,0.0567369977961074
01123000,0.4699459671974182,0.4727620266223559,0.7522571682929993,0.8055903320625225,1,1001,0.282311201095581,0.3328283054401666
01134500,0.2866308689117431,0.3168789781510016,0.6872406005859375,0.6869117075341755,1,1001,0.4006097316741944,0.3700327293831739
01137500,0.3056337237358093,0.3191424826703708,0.5117044448852539,0.657634369083868,1,1001,0.2060707211494445,0.3384918864134971
01139000,0.3872042894363403,0.513868210679821,0.6955605745315552,0.793140914814617,1,1001,0.3083562850952149,0.279272704134796
01139800,0.4528008103370666,0.5645340793730279,0.6519261598587036,0.7692687834090915,1,1001,0.199125349521637,0.2047347040360636
01142500,0.3573794364929199,0.4212119064756241,0.7150129079818726,0.7185873660780465,1,1001,0.3576334714889526,0.2973754596024224
01144000,0.3887988924980163,0.4477159696972844,0.7319014072418213,0.7583063993239938,1,1001,0.343102514743805,0.3105904296267094
01162500,0.3934664130210876,0.4592451868840219,0.6903088092803955,0.6600142041361445,1,1001,0.2968423962593079,0.2007690172521226
01169000,0.3888085484504699,0.3798957645837733,0.6956981420516968,0.7505386164425707,1,1001,0.3068895936012268,0.3706428518587974
01170100,0.4080042839050293,0.4143886202153857,0.6600746512413025,0.7335933517503779,1,1001,0.2520703673362732,0.3192047315349922
01181000,0.3509566783905029,0.3443056142556051,0.6962061524391174,0.6848629989601646,1,1001,0.3452494740486145,0.3405573847045595
01187300,0.2980166673660278,0.2586122907056617,0.6322414875030518,0.5831560492175373,1,1001,0.334224820137024,0.3245437585118755
01195100,0.391562283039093,0.3544999208206592,0.647199809551239,0.6593262733524141,1,1001,0.255637526512146,0.3048263525317549
04296000,0.2877122759819031,0.4358838040873839,0.7271179556846619,0.762699488295887,1,1001,0.4394056797027588,0.326815684208503
01333000,0.5848021507263184,0.5905204360492867,0.7324137687683105,0.8519004854968789,2,1001,0.1476116180419922,0.2613800494475922
01350000,0.3882274627685547,0.3482497853878302,0.5826627016067505,0.6298426748011994,2,1001,0.1944352388381958,0.2815928894133692
01350080,0.4511967301368713,0.4435500086575702,0.5869059562683105,0.6737192301443619,2,1001,0.1357092261314392,0.2301692214867916
01350140,0.4153594374656677,0.4153548186961167,0.5187300443649292,0.6353703369331563,2,1001,0.1033706068992614,0.2200155182370395
01365000,0.4719287753105163,0.4339732421958906,0.6537732481956482,0.7433558262528935,2,1001,0.1818444728851319,0.3093825840570029
01411300,0.5045852661132812,0.5060385927263518,0.5391061305999756,0.4461649070141674,2,1001,0.0345208644866943,-0.0598736857121843
01413500,0.4674184322357178,0.4657168305536323,0.6333814859390259,0.7499203957694083,2,1001,0.1659630537033081,0.284203565215776
