basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
01013500,0.8419125080108643,0.7738994918520411,0.8935161828994751,0.92095768757483,01,1001,0.05160367488861084,0.1470581957227889
01022500,0.6002066135406494,0.6877358372817732,0.8419782519340515,0.8973821670093661,01,1001,0.2417716383934021,0.2096463297275929
01030500,0.7091279029846191,0.7665571310923736,0.8088799715042114,0.8653562308872578,01,1001,0.09975206851959229,0.09879909979488422
01031500,0.4973988533020019,0.5517862366357502,0.806884765625,0.85077670688455,01,1001,0.3094859123229981,0.29899047024879977
01047000,0.5154112577438354,0.5519420029840796,0.7958635091781616,0.8003988196754285,01,1001,0.28045225143432617,0.2484568166913489
01052500,0.3503960371017456,0.3342568739638195,0.7856737375259399,0.8679583423811519,01,1001,0.43527770042419434,0.5337014684173325
01054200,0.2264792323112487,0.2000541392406442,0.6016210317611694,0.5927467446419266,01,1001,0.37514179944992077,0.39269260540128237
01055000,0.3163259625434875,0.3262173875339749,0.627370297908783,0.6520922424025611,01,1001,0.31104433536529547,0.32587485486858625
01057000,0.5584924817085266,0.5602205428501086,0.8027006983757019,0.8243144348747082,01,1001,0.2442082166671753,0.26409389202459965
01073000,0.5068442225456238,0.4871395413393601,0.8662009835243225,0.791167251832178,01,1001,0.35935676097869873,0.30402771049281785
01078000,0.613810122013092,0.5952050701442385,0.8323936462402344,0.77986194570725,01,1001,0.21858352422714233,0.18465687556301147
01123000,0.5999050736427307,0.5822821684004349,0.7838473320007324,0.8801672939268927,01,1001,0.1839422583580017,0.29788512552645785
01134500,0.456955075263977,0.4557700499537921,0.7514176368713379,0.7669257016640243,01,1001,0.2944625616073609,0.3111556517102322
01137500,0.3287788033485412,0.3414435726437426,0.728853166103363,0.8248343491758768,01,1001,0.40007436275482183,0.48339077653213425
01139000,0.5709981918334961,0.5939352751445379,0.7683539390563965,0.8669845084727977,01,1001,0.1973557472229004,0.2730492333282598
01139800,0.5859030485153198,0.6261953092165237,0.7090342044830322,0.7252076065655366,01,1001,0.1231311559677124,0.09901229734901296
01142500,0.5033594369888306,0.5675807742757377,0.8022183775901794,0.8036160484899693,01,1001,0.2988589406013489,0.23603527421423154
01144000,0.559877872467041,0.6059072117114305,0.8266223073005676,0.906259954504169,01,1001,0.2667444348335266,0.3003527427927385
01162500,0.6620762348175049,0.6693026352700735,0.8024464845657349,0.8313616360271905,01,1001,0.14037024974822998,0.162059000757117
01169000,0.5048302412033081,0.5149095957745542,0.7280594706535339,0.8436382871867191,01,1001,0.22322922945022583,0.3287286914121649
01170100,0.5289708375930786,0.5221167870323521,0.7008170485496521,0.8301264787830244,01,1001,0.1718462109565735,0.3080096917506723
01181000,0.4965561628341675,0.4636391323940606,0.748873233795166,0.8412453000039769,01,1001,0.25231707096099854,0.3776061676099163
01187300,0.4076545834541321,0.3683800336810732,0.7183747291564941,0.7362393422720757,01,1001,0.31072014570236206,0.36785930859100247
01195100,0.5293930172920227,0.5170744772059066,0.7210830450057983,0.7681110304544613,01,1001,0.19169002771377563,0.2510365532485547
04296000,0.5403964519500732,0.5968420433977678,0.7770002484321594,0.8068579536850122,01,1001,0.23660379648208618,0.21001591028724442
