basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
03010655,0.437424898147583,0.4978662956675062,0.6769773364067078,0.740960440322677,05,1001,0.23955243825912476,0.24309414465517087
03011800,0.4593082070350647,0.5451139437904553,0.703935980796814,0.7753274757590424,05,1001,0.24462777376174927,0.23021353196858707
03015500,0.496339738368988,0.5037839394507808,0.7176893949508667,0.7658255640512163,05,1001,0.22134965658187872,0.26204162460043545
03021350,0.3459352850914001,0.3169337536808716,0.5764275789260864,0.562093582914495,05,1001,0.23049229383468633,0.24515982923362334
03026500,0.3863663077354431,0.4955268322922385,0.5991224050521851,0.6860978706786027,05,1001,0.21275609731674194,0.19057103838636424
03028000,0.4367319941520691,0.4841744206158292,0.678362250328064,0.6968348952405807,05,1001,0.24163025617599487,0.21266047462475152
03049000,0.5065365433692932,0.5736829996048747,0.675308108329773,0.761886929625622,05,1001,0.16877156496047974,0.1882039300207473
03049800,0.3927212357521057,0.4432317244347901,0.3457103371620178,0.5732603971756781,05,1001,-0.04701089859008789,0.13002867274088803
03050000,0.4624070525169372,0.4182801791807281,0.6975829601287842,0.6575527058209371,05,1001,0.23517590761184698,0.23927252664020898
03069500,0.4486048817634582,0.3984711891789365,0.7167221307754517,0.6823429764036038,05,1001,0.26811724901199346,0.28387178722466727
03070500,0.5402686595916748,0.481973489613091,0.7265185117721558,0.675308950717121,05,1001,0.18624985218048096,0.19333546110403005
03076600,0.4920527338981628,0.5317019416024973,0.633272647857666,0.6982312991430827,05,1001,0.14121991395950323,0.1665293575405854
03078000,0.4809523820877075,0.4853630284350667,0.627780556678772,0.6608421846399709,05,1001,0.14682817459106445,0.17547915620490423
03140000,0.5124396085739136,0.5254833484693295,0.6253038644790649,0.5494467447440603,05,1001,0.11286425590515137,0.023963396274730764
03144000,0.4501904249191284,0.4052829336038174,0.5832438468933105,0.4123812065103348,05,1001,0.13305342197418213,0.007098272906517378
03170000,0.5690025091171265,0.7662570415629263,0.7059755325317383,0.7819011707211397,05,1001,0.13697302341461182,0.01564412915821345
03173000,0.5022784471511841,0.4760546230201588,0.6654371023178101,0.5911035174908499,05,1001,0.16315865516662598,0.11504889447069111
03180500,0.428523302078247,0.4230381319970614,0.7064487934112549,0.7151573546949455,05,1001,0.27792549133300787,0.29211922269788404
03182500,0.4907455444335937,0.4660048167074465,0.7522376179695129,0.7302922398341342,05,1001,0.26149207353591924,0.2642874231266877
03186500,0.4475999474525451,0.4168865357095705,0.6847144365310669,0.6654032805041852,05,1001,0.23711448907852178,0.24851674479461466
03237280,0.3326647877693176,0.3184438063656605,0.4619283676147461,0.5180417640129665,05,1001,0.12926357984542847,0.19959795764730603
03237500,0.3399986624717712,0.2659819638599844,0.6033826470375061,0.4862764623825495,05,1001,0.2633839845657349,0.2202944985225651
03238500,0.3503176569938659,0.2680193386235191,0.6062027812004089,0.5303825616204036,05,1001,0.255885124206543,0.2623632229968845
03241500,0.5911545753479004,0.6181589112299999,0.7701363563537598,0.7904703088970556,05,1001,0.17898178100585938,0.17231139766705572
03280700,0.4163435697555542,0.4030398264835408,0.6114227175712585,0.5981206147832134,05,1001,0.19507914781570435,0.19508078829967263
03281500,0.5527232885360718,0.4844460391806003,0.7123218774795532,0.7488503514894367,05,1001,0.15959858894348145,0.2644043123088364
03285000,0.3720090985298157,0.2485619265322068,0.6245347261428833,0.4671273889078404,05,1001,0.2525256276130676,0.2185654623756336
03291780,0.3142628669738769,0.2435476967769934,0.4596279859542846,0.3727994794918902,05,1001,0.14536511898040771,0.1292517827148968
03338780,0.4507548809051513,0.3659062346547314,0.7579025030136108,0.6345551836952672,05,1001,0.30714762210845953,0.2686489490405358
03340800,0.3965047597885132,0.3322030673237148,0.7476899027824402,0.6009841703074932,05,1001,0.351185142993927,0.2687811029837784
03346000,0.4365781545639038,0.3571267153669913,0.6685160398483276,0.6325268132071874,05,1001,0.23193788528442383,0.2754000978401961
03364500,0.4511197805404663,0.4106016261588228,0.6818147897720337,0.6702525762806122,05,1001,0.23069500923156738,0.2596509501217894
03366500,0.4127829074859619,0.3469065559746047,0.6296858191490173,0.5416844960270448,05,1001,0.21690291166305542,0.19477794005244015
03368000,0.2284691929817199,0.1586960822006757,0.3776863813400268,0.3267149971769773,05,1001,0.1492171883583069,0.1680189149763016
03384450,0.357340395450592,0.3001667357521488,0.5103467106819153,0.4488935416129184,05,1001,0.1530063152313233,0.14872680586076958
