metric,local_mean,finetune_mean,delta_mean_ft_minus_local,n_basins,seed
NSE,0.16752129495143886,0.7745820164680481,0.6070607215166092,20,1001
KGE,0.09587649638787178,0.805739221058872,0.7098627246710001,20,1001
