metric,local_mean,finetune_mean,delta_mean_ft_minus_local,n_basins,seed
NSE,0.15683855414390563,0.7892806947231292,0.6324421405792237,10,1001
KGE,0.08135446483870404,0.7961941490462587,0.7148396842075547,10,1001
