basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
01013500,0.8419125080108643,0.7738994918520411,0.8935161828994751,0.92095768757483,1,1001,0.0516036748886108,0.1470581957227889
01022500,0.6002066135406494,0.6877358372817732,0.8419782519340515,0.8973821670093661,1,1001,0.2417716383934021,0.2096463297275929
01030500,0.7091279029846191,0.7665571310923736,0.8088799715042114,0.8653562308872578,1,1001,0.0997520685195922,0.0987990997948842
01031500,0.4973988533020019,0.5517862366357502,0.806884765625,0.85077670688455,1,1001,0.3094859123229981,0.2989904702487997
01047000,0.5154112577438354,0.5519420029840796,0.7958635091781616,0.8003988196754285,1,1001,0.2804522514343261,0.2484568166913489
01052500,0.3503960371017456,0.3342568739638195,0.7856737375259399,0.8679583423811519,1,1001,0.4352777004241943,0.5337014684173325
01054200,0.2264792323112487,0.2000541392406442,0.6016210317611694,0.5927467446419266,1,1001,0.3751417994499207,0.3926926054012823
01055000,0.3163259625434875,0.3262173875339749,0.627370297908783,0.6520922424025611,1,1001,0.3110443353652954,0.3258748548685862
01057000,0.5584924817085266,0.5602205428501086,0.8027006983757019,0.8243144348747082,1,1001,0.2442082166671753,0.2640938920245996
01073000,0.5068442225456238,0.4871395413393601,0.8662009835243225,0.791167251832178,1,1001,0.3593567609786987,0.3040277104928178
01078000,0.613810122013092,0.5952050701442385,0.8323936462402344,0.77986194570725,1,1001,0.2185835242271423,0.1846568755630114
01123000,0.5999050736427307,0.5822821684004349,0.7838473320007324,0.8801672939268927,1,1001,0.1839422583580017,0.2978851255264578
01134500,0.456955075263977,0.4557700499537921,0.7514176368713379,0.7669257016640243,1,1001,0.2944625616073609,0.3111556517102322
01137500,0.3287788033485412,0.3414435726437426,0.728853166103363,0.8248343491758768,1,1001,0.4000743627548218,0.4833907765321342
01139000,0.5709981918334961,0.5939352751445379,0.7683539390563965,0.8669845084727977,1,1001,0.1973557472229004,0.2730492333282598
01139800,0.5859030485153198,0.6261953092165237,0.7090342044830322,0.7252076065655366,1,1001,0.1231311559677124,0.0990122973490129
