metric,local_mean,finetune_mean,delta_mean_ft_minus_local,n_basins,seed
NSE,0.605406542122364,0.7069398842751979,0.10153334215283394,80,1001
KGE,0.60606117942406,0.7320210578434192,0.12595987841935918,80,1001
